name,kit_type,playtime,kills,deaths,damage_dealt,damage_received,flags_captured,flags_recovered,flags_stolen,drops,time_with_flag,hp_restored
alcea_,ARCHER,1201.0,45.0,7.0,1145.452,601.916,0.0,0.0,0.0,0.0,0.0,0.0
alcea_,ARCHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alcea_,HEAVY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alcea_,HEAVY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alcea_,MEDIC,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alcea_,ARCHER,1198.0,41.0,6.0,788.235,758.317,0.0,0.0,0.0,0.0,0.0,0.0
alcea_,ARCHER,1201.0,44.0,22.0,1028.98,1592.193,0.0,0.0,0.0,0.0,0.0,0.0
analhilation,HEAVY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apliterature,HEAVY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apliterature,HEAVY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apliterature,HEAVY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apliterature,MAGE,242.0,0.0,3.0,401.5,165.769,0.0,0.0,0.0,0.0,0.0,0.0
apliterature,ASSASSIN,794.0,17.0,20.0,511.1,544.622,0.0,4.0,0.0,0.0,0.0,0.0
apliterature,ASSASSIN,24.0,0.0,1.0,7.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
apliterature,MAGE,1176.0,18.0,3.0,1739.082,548.084,0.0,0.0,0.0,0.0,0.0,0.0
apliterature,MAGE,1117.0,19.0,12.0,1783.736,823.427,0.0,1.0,0.0,0.0,0.0,0.0
apliterature,ASSASSIN,83.0,2.0,5.0,22.439,89.654,0.0,0.0,0.0,0.0,0.0,0.0
apliterature,HEAVY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apliterature,MAGE,878.0,10.0,8.0,1706.127,859.287,0.0,1.0,0.0,0.0,0.0,0.0
apliterature,ASSASSIN,77.0,1.0,3.0,26.111,60.0,0.0,0.0,0.0,0.0,0.0,0.0
apliterature,MAGE,1138.0,15.0,9.0,1836.512,812.969,0.0,0.0,0.0,0.0,0.0,0.0
apparentlysexist,HEAVY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apparentlysexist,ASSASSIN,1201.0,27.0,38.0,712.007,929.902,0.0,1.0,0.0,0.0,0.0,0.0
apparentlysexist,ASSASSIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arcticgalaxy,HEAVY,430.0,5.0,8.0,311.067,599.325,0.0,0.0,0.0,0.0,0.0,0.0
arcticgalaxy,MEDIC,446.0,6.0,7.0,290.689,833.333,0.0,0.0,0.0,0.0,0.0,361.0
arcticgalaxy,CHEMIST,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arcticgalaxy,SOLDIER,316.0,4.0,4.0,92.796,528.304,0.0,0.0,3.0,3.0,20.0,0.0
arcticgalaxy,SOLDIER,1190.0,7.0,23.0,375.674,1688.372,0.0,0.0,9.0,9.0,39.0,0.0
arcticgalaxy,CHEMIST,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arcticgalaxy,SOLDIER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arcticgalaxy,HEAVY,988.0,11.0,18.0,810.107,2144.123,0.0,0.0,3.0,3.0,29.0,0.0
arcticgalaxy,HEAVY,803.0,18.0,6.0,1240.137,1792.085,0.0,0.0,0.0,0.0,0.0,0.0
arcticgalaxy,SOLDIER,397.0,6.0,7.0,312.542,656.47,0.0,1.0,1.0,1.0,0.0,0.0
arcticgalaxy,SOLDIER,1189.0,10.0,24.0,264.78,2066.262,0.0,0.0,6.0,7.0,62.0,0.0
arcticgalaxy,CHEMIST,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arcticgalaxy,SOLDIER,352.0,2.0,10.0,112.394,424.9,0.0,0.0,0.0,0.0,0.0,0.0
arcticgalaxy,MEDIC,160.0,2.0,0.0,84.579,44.199,0.0,0.0,0.0,0.0,0.0,250.0
arcticgalaxy,HEAVY,688.0,26.0,20.0,1008.221,2268.993,0.0,0.0,6.0,6.0,52.0,0.0
arjaz,HEAVY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arjaz,CHEMIST,1201.0,20.0,9.0,670.393,2538.279,0.0,0.0,5.0,5.0,728.0,0.0
arjaz,CHEMIST,1201.0,43.0,29.0,1748.105,2664.053,1.0,0.0,3.0,2.0,44.0,0.0
arjaz,CHEMIST,988.0,12.0,19.0,777.134,1984.415,0.0,0.0,4.0,4.0,195.0,0.0
arjaz,HEAVY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arjaz,CHEMIST,1201.0,38.0,32.0,2876.409,2971.536,0.0,0.0,5.0,6.0,48.0,0.0
arjaz,CHEMIST,1201.0,27.0,21.0,1582.429,2359.19,1.0,0.0,4.0,3.0,90.0,0.0
arjaz,CHEMIST,1201.0,37.0,20.0,1811.664,2066.177,1.0,0.0,7.0,6.0,61.0,0.0
arjaz,HEAVY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arjaz,CHEMIST,1201.0,25.0,15.0,959.502,3020.074,1.0,2.0,7.0,5.0,540.0,0.0
